date,country,variant,new_cases,new_deaths,hospitalized
2020-01-01,Germany,Omicron,512,10,613
2020-01-02,Germany,XBB,524,11,1911
2020-01-03,Canada,Omicron,502,9,1059
2020-01-04,Brazil,XBB,470,10,224
2020-01-05,USA,BA.5,497,16,2239
2020-01-06,USA,BA.5,494,10,4904
2020-01-07,Canada,Omicron,516,11,2749
2020-01-08,USA,BA.5,507,12,3732
2020-01-09,India,BA.5,485,9,514
2020-01-10,India,Alpha,504,8,1512
2020-01-11,India,Omicron,479,11,3985
2020-01-12,Canada,Omicron,511,8,3906
2020-01-13,Germany,Delta,496,9,2008
2020-01-14,Germany,Delta,475,6,4985
2020-01-15,Brazil,BA.5,493,8,3408
2020-01-16,Brazil,Delta,498,11,2619
2020-01-17,India,Alpha,502,10,3028
2020-01-18,India,Omicron,533,8,3166
2020-01-19,Canada,Alpha,509,11,842
2020-01-20,India,Omicron,492,8,315
2020-01-21,India,XBB,505,20,1489
2020-01-22,India,Omicron,488,5,255
2020-01-23,USA,Alpha,511,7,4489
2020-01-24,Germany,BA.5,486,8,1121
2020-01-25,USA,Delta,509,13,1534
2020-01-26,India,Delta,498,13,1509
2020-01-27,India,Alpha,502,10,1417
2020-01-28,USA,Delta,547,13,2821
2020-01-29,USA,BA.5,519,10,80
2020-01-30,Canada,Delta,481,12,1862
2020-01-31,Canada,XBB,513,6,3020
2020-02-01,India,Omicron,530,14,4013
2020-02-02,USA,XBB,496,4,583
2020-02-03,Canada,Omicron,518,8,2423
2020-02-04,Brazil,XBB,497,8,1115
2020-02-05,USA,Delta,467,11,4208
2020-02-06,Germany,Delta,508,12,1719
2020-02-07,Brazil,BA.5,491,15,2498
2020-02-08,Brazil,XBB,504,13,2519
2020-02-09,USA,Omicron,513,7,8
2020-02-10,India,Omicron,478,8,974
2020-02-11,Germany,Delta,499,6,4508
2020-02-12,Canada,Delta,496,12,2290
2020-02-13,Canada,Delta,524,14,2963
2020-02-14,India,XBB,487,2,3251
2020-02-15,Germany,Omicron,482,7,3105
2020-02-16,Germany,XBB,472,15,2872
2020-02-17,Brazil,Omicron,464,1,4683
2020-02-18,Brazil,Omicron,554,11,1064
2020-02-19,Germany,BA.5,479,11,3452
2020-02-20,USA,Delta,510,8,233
2020-02-21,USA,XBB,481,6,1270
2020-02-22,USA,XBB,509,13,3578
2020-02-23,Germany,Delta,519,11,574
2020-02-24,Canada,XBB,496,15,4823
2020-02-25,USA,BA.5,538,8,163
2020-02-26,Canada,XBB,484,11,3136
2020-02-27,USA,Omicron,516,6,1159
2020-02-28,Germany,Delta,507,8,4892
2020-02-29,USA,Delta,524,12,3221
2020-03-01,Canada,BA.5,524,11,986
2020-03-02,India,XBB,495,11,1593
2020-03-03,Canada,Omicron,454,14,2416
2020-03-04,India,Alpha,496,10,3741
2020-03-05,Canada,Omicron,469,9,498
2020-03-06,USA,Omicron,518,14,3658
2020-03-07,USA,XBB,523,9,1716
2020-03-08,Canada,Alpha,515,11,4169
2020-03-09,USA,BA.5,499,13,3546
2020-03-10,USA,XBB,472,7,4373
2020-03-11,Germany,Delta,462,12,3830
2020-03-12,Brazil,Alpha,478,12,2789
2020-03-13,Brazil,Delta,532,10,3191
2020-03-14,Canada,Alpha,508,7,3112
2020-03-15,Brazil,Delta,513,11,3723
2020-03-16,India,XBB,492,15,3126
2020-03-17,Canada,Alpha,483,9,4314
2020-03-18,Canada,BA.5,498,17,434
2020-03-19,India,XBB,518,9,4225
2020-03-20,Brazil,Alpha,525,14,4475
2020-03-21,India,Delta,489,8,1638
2020-03-22,USA,Omicron,486,15,1558
2020-03-23,Canada,Alpha,476,10,1178
2020-03-24,Germany,XBB,476,9,582
2020-03-25,India,Delta,498,11,138
2020-03-26,Canada,XBB,516,14,3210
2020-03-27,Canada,Delta,471,10,3884
2020-03-28,India,XBB,514,4,4640
2020-03-29,Germany,Alpha,463,11,1247
2020-03-30,Canada,Alpha,535,10,360
2020-03-31,USA,Alpha,494,12,3187
2020-04-01,USA,Delta,548,5,2371
2020-04-02,USA,BA.5,498,6,1060
2020-04-03,Germany,XBB,493,6,3645
2020-04-04,Brazil,BA.5,512,6,3451
2020-04-05,USA,BA.5,481,12,4512
2020-04-06,India,BA.5,497,15,3157
2020-04-07,Brazil,Omicron,519,10,3700
2020-04-08,India,XBB,541,7,2944
