date,temperature_c,humidity,condition
2022-01-01,28,81,snow
2022-01-02,4,90,snow
2022-01-03,28,53,cloudy
2022-01-04,11,82,rain
2022-01-05,13,59,rain
2022-01-06,10,62,storm
2022-01-07,11,78,cloudy
2022-01-08,31,89,cloudy
2022-01-09,33,84,storm
2022-01-10,-8,80,snow
2022-01-11,-2,68,rain
2022-01-12,-7,89,rain
2022-01-13,-2,82,rain
2022-01-14,9,89,storm
2022-01-15,-3,76,cloudy
2022-01-16,3,65,rain
2022-01-17,29,33,rain
2022-01-18,-5,83,rain
2022-01-19,-7,83,snow
2022-01-20,7,73,rain
2022-01-21,-1,91,storm
2022-01-22,3,77,storm
2022-01-23,29,82,rain
2022-01-24,14,89,storm
2022-01-25,34,70,snow
2022-01-26,4,74,sunny
2022-01-27,14,38,sunny
2022-01-28,33,37,cloudy
2022-01-29,6,37,cloudy
2022-01-30,24,62,cloudy
2022-01-31,-6,70,storm
2022-02-01,-4,41,rain
2022-02-02,22,77,snow
2022-02-03,24,73,cloudy
2022-02-04,24,94,cloudy
2022-02-05,26,76,cloudy
2022-02-06,-10,34,rain
2022-02-07,3,56,sunny
2022-02-08,4,44,rain
2022-02-09,31,80,sunny
2022-02-10,21,33,snow
2022-02-11,12,44,cloudy
2022-02-12,18,65,snow
2022-02-13,21,88,cloudy
2022-02-14,11,57,rain
2022-02-15,31,74,sunny
2022-02-16,-5,57,storm
2022-02-17,33,73,storm
2022-02-18,19,91,cloudy
2022-02-19,17,91,sunny
2022-02-20,-10,56,sunny
2022-02-21,2,32,cloudy
2022-02-22,-2,91,snow
2022-02-23,22,80,rain
2022-02-24,33,53,cloudy
2022-02-25,21,81,sunny
2022-02-26,38,87,storm
2022-02-27,1,68,rain
2022-02-28,-8,85,sunny
2022-03-01,38,31,rain
2022-03-02,17,83,snow
2022-03-03,21,30,cloudy
2022-03-04,-9,82,storm
2022-03-05,15,61,storm
2022-03-06,0,85,cloudy
2022-03-07,6,67,snow
2022-03-08,23,99,cloudy
2022-03-09,37,45,sunny
2022-03-10,-2,88,snow
2022-03-11,-8,49,storm
2022-03-12,25,48,rain
2022-03-13,-8,48,storm
2022-03-14,21,81,sunny
2022-03-15,22,69,rain
2022-03-16,29,30,cloudy
2022-03-17,17,86,sunny
2022-03-18,39,52,rain
2022-03-19,24,36,storm
2022-03-20,5,89,sunny
2022-03-21,-9,30,storm
2022-03-22,-6,66,cloudy
2022-03-23,-2,48,cloudy
2022-03-24,9,53,sunny
2022-03-25,13,65,storm
2022-03-26,24,54,snow
2022-03-27,7,95,cloudy
2022-03-28,5,90,sunny
2022-03-29,25,62,storm
2022-03-30,22,43,snow
2022-03-31,37,49,cloudy
2022-04-01,6,62,storm
2022-04-02,11,51,snow
2022-04-03,-3,56,cloudy
2022-04-04,23,50,sunny
2022-04-05,17,93,sunny
2022-04-06,-6,90,cloudy
2022-04-07,-7,64,sunny
2022-04-08,6,73,storm
2022-04-09,19,75,snow
2022-04-10,-5,66,snow
2022-04-11,38,75,snow
2022-04-12,20,89,sunny
2022-04-13,10,61,sunny
2022-04-14,-8,47,sunny
2022-04-15,31,83,rain
2022-04-16,-8,75,rain
2022-04-17,21,76,rain
2022-04-18,16,31,rain
2022-04-19,6,62,sunny
2022-04-20,32,77,snow
2022-04-21,31,55,cloudy
2022-04-22,39,54,snow
2022-04-23,-4,86,storm
2022-04-24,34,49,sunny
2022-04-25,-3,45,storm
2022-04-26,12,44,storm
2022-04-27,23,95,cloudy
2022-04-28,14,87,snow
2022-04-29,11,87,rain
2022-04-30,11,78,storm
2022-05-01,31,99,cloudy
2022-05-02,26,37,snow
2022-05-03,33,34,storm
2022-05-04,-5,76,cloudy
2022-05-05,29,81,snow
2022-05-06,39,59,cloudy
2022-05-07,6,92,cloudy
2022-05-08,17,87,rain
2022-05-09,26,91,sunny
2022-05-10,1,30,rain
2022-05-11,-10,63,sunny
2022-05-12,29,30,snow
2022-05-13,28,93,snow
2022-05-14,11,96,storm
2022-05-15,15,45,cloudy
2022-05-16,26,86,snow
2022-05-17,3,98,sunny
2022-05-18,19,91,storm
2022-05-19,-6,45,rain
2022-05-20,15,77,snow
2022-05-21,28,62,snow
2022-05-22,12,39,snow
2022-05-23,25,63,storm
2022-05-24,20,39,rain
2022-05-25,8,87,sunny
2022-05-26,-6,33,rain
2022-05-27,38,61,cloudy
2022-05-28,9,53,storm
2022-05-29,39,64,storm
2022-05-30,22,62,snow
2022-05-31,32,41,cloudy
2022-06-01,-10,62,rain
2022-06-02,32,73,snow
2022-06-03,2,41,rain
2022-06-04,39,64,sunny
2022-06-05,15,37,snow
2022-06-06,15,63,cloudy
2022-06-07,30,36,storm
2022-06-08,39,58,storm
2022-06-09,14,50,snow
2022-06-10,25,39,snow
2022-06-11,-2,53,cloudy
2022-06-12,38,65,rain
2022-06-13,38,53,snow
2022-06-14,1,84,snow
2022-06-15,12,59,sunny
2022-06-16,38,91,storm
2022-06-17,37,42,cloudy
2022-06-18,8,78,storm
2022-06-19,1,90,sunny
2022-06-20,8,38,storm
2022-06-21,3,81,cloudy
2022-06-22,36,45,snow
2022-06-23,-6,41,sunny
2022-06-24,10,82,sunny
2022-06-25,28,82,rain
2022-06-26,28,43,rain
2022-06-27,-6,64,snow
2022-06-28,32,47,storm
2022-06-29,-2,87,storm
2022-06-30,6,36,snow
2022-07-01,29,71,sunny
2022-07-02,39,56,rain
2022-07-03,-9,34,snow
2022-07-04,26,67,cloudy
2022-07-05,-3,94,storm
2022-07-06,6,74,storm
2022-07-07,25,99,storm
2022-07-08,20,48,snow
2022-07-09,33,83,cloudy
2022-07-10,-1,48,cloudy
2022-07-11,34,42,rain
2022-07-12,17,87,storm
2022-07-13,17,90,sunny
2022-07-14,28,30,cloudy
2022-07-15,2,91,sunny
2022-07-16,38,54,sunny
2022-07-17,27,35,rain
2022-07-18,33,74,snow
2022-07-19,36,50,snow
2022-07-20,0,65,cloudy
2022-07-21,8,49,sunny
2022-07-22,7,76,sunny
2022-07-23,38,43,sunny
2022-07-24,-8,45,sunny
2022-07-25,0,41,rain
2022-07-26,21,45,storm
2022-07-27,13,57,snow
2022-07-28,-3,65,rain
2022-07-29,-3,87,storm
2022-07-30,39,57,storm
2022-07-31,26,70,storm
2022-08-01,16,92,sunny
2022-08-02,-2,62,snow
2022-08-03,9,58,snow
2022-08-04,35,64,snow
2022-08-05,-5,98,sunny
2022-08-06,-9,39,rain
2022-08-07,34,34,sunny
2022-08-08,-10,47,sunny
2022-08-09,0,55,sunny
2022-08-10,11,88,cloudy
2022-08-11,38,62,rain
2022-08-12,30,30,snow
2022-08-13,37,84,storm
2022-08-14,6,98,snow
2022-08-15,27,32,snow
2022-08-16,12,82,snow
2022-08-17,-1,46,snow
2022-08-18,3,30,cloudy
2022-08-19,34,33,sunny
2022-08-20,38,61,rain
2022-08-21,17,68,rain
2022-08-22,23,83,cloudy
2022-08-23,39,41,sunny
2022-08-24,33,34,cloudy
2022-08-25,6,76,snow
2022-08-26,10,43,rain
2022-08-27,0,80,storm
2022-08-28,23,67,rain
2022-08-29,23,59,cloudy
2022-08-30,23,81,sunny
2022-08-31,27,59,rain
2022-09-01,6,34,snow
2022-09-02,-7,39,sunny
2022-09-03,-1,46,storm
2022-09-04,9,98,rain
2022-09-05,-5,82,rain
2022-09-06,2,72,cloudy
2022-09-07,36,52,cloudy
2022-09-08,5,37,storm
2022-09-09,29,33,sunny
2022-09-10,-8,96,cloudy
2022-09-11,18,61,rain
2022-09-12,8,50,snow
2022-09-13,7,71,snow
2022-09-14,11,50,sunny
2022-09-15,-6,41,rain
2022-09-16,35,63,sunny
2022-09-17,3,74,cloudy
2022-09-18,-2,55,sunny
2022-09-19,36,85,cloudy
2022-09-20,37,90,sunny
2022-09-21,15,65,sunny
2022-09-22,-3,81,rain
2022-09-23,17,31,snow
2022-09-24,15,43,cloudy
2022-09-25,-4,32,cloudy
2022-09-26,36,47,rain
2022-09-27,27,44,sunny
2022-09-28,26,57,rain
2022-09-29,28,86,sunny
2022-09-30,28,73,sunny
2022-10-01,6,42,storm
2022-10-02,14,97,rain
2022-10-03,-8,47,storm
2022-10-04,36,63,sunny
2022-10-05,33,71,sunny
2022-10-06,26,35,storm
2022-10-07,15,93,rain
2022-10-08,34,99,snow
2022-10-09,22,82,snow
2022-10-10,-5,99,storm
2022-10-11,19,91,sunny
2022-10-12,-8,60,snow
2022-10-13,25,53,rain
2022-10-14,9,33,sunny
2022-10-15,19,80,sunny
2022-10-16,-9,37,rain
2022-10-17,34,73,snow
2022-10-18,-5,55,storm
2022-10-19,8,49,sunny
2022-10-20,1,76,sunny
2022-10-21,15,43,snow
2022-10-22,0,32,sunny
2022-10-23,-5,79,rain
2022-10-24,-6,52,rain
2022-10-25,33,31,snow
2022-10-26,29,31,storm
2022-10-27,-10,92,snow
2022-10-28,-2,46,sunny
2022-10-29,0,44,cloudy
2022-10-30,19,78,snow
2022-10-31,33,79,snow
2022-11-01,0,38,rain
2022-11-02,1,64,sunny
2022-11-03,29,93,storm
2022-11-04,18,40,sunny
2022-11-05,26,43,storm
2022-11-06,19,64,snow
2022-11-07,26,34,cloudy
2022-11-08,3,55,storm
2022-11-09,14,71,sunny
2022-11-10,7,69,cloudy
2022-11-11,27,52,sunny
2022-11-12,14,46,sunny
2022-11-13,36,95,snow
2022-11-14,29,80,cloudy
2022-11-15,-5,35,cloudy
2022-11-16,-4,80,rain
2022-11-17,4,58,sunny
2022-11-18,19,56,storm
2022-11-19,18,67,sunny
2022-11-20,22,56,sunny
2022-11-21,-7,95,rain
2022-11-22,-6,67,snow
2022-11-23,20,76,storm
2022-11-24,34,81,snow
2022-11-25,-3,34,snow
2022-11-26,36,97,storm
2022-11-27,34,31,cloudy
2022-11-28,20,65,storm
2022-11-29,15,72,cloudy
2022-11-30,-6,49,cloudy
2022-12-01,-1,67,rain
2022-12-02,35,41,rain
2022-12-03,2,91,rain
2022-12-04,14,89,cloudy
2022-12-05,1,97,snow
2022-12-06,26,60,rain
2022-12-07,-2,80,snow
2022-12-08,3,69,sunny
2022-12-09,11,40,sunny
2022-12-10,35,50,rain
2022-12-11,35,65,sunny
2022-12-12,-10,92,cloudy
2022-12-13,29,44,snow
2022-12-14,36,82,sunny
2022-12-15,-1,81,sunny
2022-12-16,15,70,cloudy
2022-12-17,14,67,rain
2022-12-18,-4,63,cloudy
2022-12-19,6,72,cloudy
2022-12-20,33,80,sunny
2022-12-21,-4,81,snow
2022-12-22,13,62,sunny
2022-12-23,18,92,cloudy
2022-12-24,11,55,storm
2022-12-25,39,78,sunny
