month,sales,profit,new_cases,hospitalized,rolling_profit,sales_pct_change
2020-01,36627.07,1490.9,15558,2171.483870967742,,
2020-02,26120.18,1775.53,14543,2458.5172413793102,,-0.286861329612224
2020-03,33591.53,1297.55,15392,2630.2258064516127,1521.3266666666666,0.2860374622226951
2020-04,24267.89,1186.19,15148,2560.866666666667,1419.756666666667,-0.2775592537761751
2020-05,30944.1,1753.54,15542,2170.3870967741937,1412.426666666667,0.2751046753549648
2020-06,29744.69,1097.35,15147,2803.133333333333,1345.6933333333334,-0.038760539165786
2020-07,29612.16,1639.93,15458,2362.8064516129034,1496.9399999999998,-0.0044555851817584
2020-08,31635.41,1505.0,15581,2368.8709677419356,1414.0933333333332,0.0683249719034342
2020-09,29429.83,1651.17,14961,2469.0333333333333,1598.7,-0.0697187107737816
2020-10,29827.85,1568.44,15581,2537.8064516129034,1574.87,0.0135243730595793
2020-11,34508.69,1673.68,15098,1803.7,1631.0966666666666,0.1569285080889171
2020-12,33967.86,1425.52,15192,2345.7741935483873,1555.88,-0.0156722842854944
2021-01,31433.78,1529.73,15263,2167.3870967741937,1542.9766666666667,-0.0746022858078195
2021-02,28894.59,1394.35,14182,2768.8214285714284,1449.8666666666668,-0.0807790218039319
2021-03,28577.56,1318.93,15604,2753.9032258064517,1414.3366666666668,-0.0109719501124604
2021-04,29848.65,1185.45,15126,2633.4,1299.5766666666666,0.0444786048913903
2021-05,30464.44,1274.88,15482,2562.290322580646,1259.753333333333,0.0206304137708068
2021-06,31799.25,1618.65,15189,2853.8333333333335,1359.66,0.0438153466796042
2021-07,30297.26,1488.22,15523,2834.3225806451615,1460.5833333333333,-0.0472335039348412
2021-08,29537.68,1630.27,15570,2636.935483870968,1579.0466666666664,-0.0250709140034445
2021-09,30471.41,889.96,14920,2381.0666666666666,1336.15,0.0316114874289381
2021-10,32605.12,1831.13,15503,2167.064516129032,1450.4533333333336,0.0700233431928485
2021-11,34901.36,1830.56,14976,2500.0,1517.2166666666665,0.0704257490848063
2021-12,30038.75,1183.79,15586,2259.483870967742,1615.16,-0.13932437016781
2022-01,34837.38,1224.93,15324,2576.0967741935483,1413.0933333333332,0.1597479921767715
2022-02,25787.21,1411.14,13983,2541.75,1273.2866666666666,-0.259783313211269
2022-03,31508.24,1370.39,15614,2849.516129032258,1335.486666666667,0.2218553306076929
2022-04,34087.07,1657.94,14850,2559.4333333333334,1479.823333333333,0.0818462091186305
2022-05,23871.13,1295.14,15657,2318.1935483870966,1441.1566666666668,-0.2997013236983994
2022-06,36234.2,1619.16,14970,2667.366666666667,1524.08,0.5179088715113191
2022-07,31283.22,1038.6,15451,2023.2903225806451,1317.6333333333332,-0.1366383140789639
2022-08,27847.87,948.15,15524,2429.8709677419356,1201.97,-0.1098144628334296
2022-09,30557.5,1910.41,14904,2566.5,1299.0533333333333,0.0973011580418898
2022-10,33963.1,1980.37,15580,2102.483870967742,1612.9766666666667,0.1114489077967766
2022-11,27383.74,1493.79,14813,2402.8,1794.8566666666666,-0.1937208323150714
2022-12,31102.32,1287.05,15426,2594.548387096774,1587.07,0.1357951835651376
2023-01,32001.93,1492.09,15377,2615.064516129032,1424.3100000000002,0.0289242088693062
2023-02,25549.9,921.45,14085,1957.0,1233.53,-0.2016137776690343
2023-03,30641.34,1769.22,15583,2262.032258064516,1394.253333333333,0.1992743611520984
2023-04,28023.87,1138.85,15172,2135.0333333333333,1276.506666666667,-0.0854228307247659
